procent zakazanych ruchów [%];modyfikator kadencji (1-100);aspiracja plus;aspiracja plus plus;liczba iteracji;najlepszy koszt cyklu Hamiltona;najlepszy koszt
0,1;1;10;3;105;5282,702;11393,833
0,1;1;10;5;172;5393,797;11412,283
0,1;1;10;10;208;5393,797;11412,283
0,1;1;100;3;70;5637,881;9866,796
0,1;1;100;5;160;5584,605;9824,011
0,1;1;100;10;367;5366,281;11360,992
0,1;1;2000;3;72;5637,881;9866,796
0,1;1;2000;5;97;5382,313;11400,8
0,1;1;2000;10;267;5366,281;11360,992
0,1;10;10;3;111;5282,702;11393,833
0,1;10;10;5;150;5584,605;9824,011
0,1;10;10;10;320;5282,702;11393,833
0,1;10;100;3;62;5282,702;11393,833
0,1;10;100;5;108;5595,339;9796,783
0,1;10;100;10;193;5622,208;10838,757
0,1;10;2000;3;49;5595,339;9796,783
0,1;10;2000;5;148;5397,866;11329,161
0,1;10;2000;10;142;5713,359;11370,126
0,1;100;10;3;72;5595,339;9796,783
0,1;100;10;5;109;5468,657;11410,09
0,1;100;10;10;233;5366,281;11360,992
0,1;100;100;3;45;5621,553;10832,828
0,1;100;100;5;154;5471,819;11366,121
0,1;100;100;10;346;5471,819;11366,121
0,1;100;2000;3;60;5621,553;10832,828
0,1;100;2000;5;157;5382,313;11400,8
0,1;100;2000;10;359;5288,071;10999,858
1,0;1;10;3;71;5584,605;9824,011
1,0;1;10;5;90;5648,304;9840,642
1,0;1;10;10;247;5393,797;11412,283
1,0;1;100;3;93;5350,515;11367,421
1,0;1;100;5;177;5350,515;11367,421
1,0;1;100;10;242;5471,819;11366,121
1,0;1;2000;3;52;5458,456;11350,124
1,0;1;2000;5;94;5397,866;11329,161
1,0;1;2000;10;187;5468,657;11410,09
1,0;10;10;3;86;5282,702;11393,833
1,0;10;10;5;151;5265,91;10977,697
1,0;10;10;10;322;5393,797;11412,283
1,0;10;100;3;118;5691,034;10890,982
1,0;10;100;5;115;5694,74;10903,001
1,0;10;100;10;380;5282,702;11393,833
1,0;10;2000;3;83;5438,407;11373,471
1,0;10;2000;5;87;5595,339;9796,783
1,0;10;2000;10;335;5288,071;10999,858
1,0;100;10;3;55;5694,74;10903,001
1,0;100;10;5;136;5397,866;11329,161
1,0;100;10;10;190;5622,208;10838,757
1,0;100;100;3;125;5471,819;11366,121
1,0;100;100;5;96;5282,702;11393,833
1,0;100;100;10;243;5350,515;11367,421
1,0;100;2000;3;60;5438,407;11373,471
1,0;100;2000;5;112;5584,605;9824,011
1,0;100;2000;10;250;5471,819;11366,121
10,0;1;10;3;138;5622,208;10838,757
10,0;1;10;5;259;5282,702;11393,833
10,0;1;10;10;182;5554,422;11583,51
10,0;1;100;3;98;5366,281;11360,992
10,0;1;100;5;98;5701,926;10520,972
10,0;1;100;10;152;5282,702;11393,833
10,0;1;2000;3;68;5471,819;11366,121
10,0;1;2000;5;80;5635,571;9845,199
10,0;1;2000;10;206;5438,407;11373,471
10,0;10;10;3;77;5596,435;10780,647
10,0;10;10;5;162;5635,571;9845,199
10,0;10;10;10;407;5282,702;11393,833
10,0;10;100;3;167;5458,456;11350,124
10,0;10;100;5;94;5699,531;10901,188
10,0;10;100;10;323;5265,91;10977,697
10,0;10;2000;3;95;5554,422;11583,51
10,0;10;2000;5;78;5366,281;11360,992
10,0;10;2000;10;247;5468,657;11410,09
10,0;100;10;3;133;5554,422;11583,51
10,0;100;10;5;131;5458,456;11350,124
10,0;100;10;10;193;5458,456;11350,124
10,0;100;100;3;117;5282,702;11393,833
10,0;100;100;5;74;5771,364;10589,495
10,0;100;100;10;234;5438,407;11373,471
10,0;100;2000;3;79;5715,626;11397,801
10,0;100;2000;5;75;5622,208;10838,757
10,0;100;2000;10;248;5397,866;11329,161
