procent zakazanych ruchów [%];modyfikator kadencji (1-100);aspiracja plus;aspiracja plus plus;liczba iteracji;najlepszy koszt cyklu Hamiltona;najlepszy koszt
0,1;1;10;3;61;7052,809;12506,65
0,1;1;10;5;97;7124,288;13451,192
0,1;1;10;10;93;7029,326;13658,328
0,1;1;100;3;62;7273,961;13347,632
0,1;1;100;5;47;7251,378;13203,178
0,1;1;100;10;82;7095,635;12868,937
0,1;1;2000;3;32;7130,7;13127,904
0,1;1;2000;5;44;7029,326;13658,328
0,1;1;2000;10;146;7095,635;12868,937
0,1;10;10;3;53;7310,457;13245,189
0,1;10;10;5;56;7136,223;12181,05
0,1;10;10;10;101;7052,809;12506,65
0,1;10;100;3;59;7029,326;13658,328
0,1;10;100;5;72;7130,7;13127,904
0,1;10;100;10;69;7142,115;12793,37
0,1;10;2000;3;51;7190,463;13184,949
0,1;10;2000;5;55;7136,223;12181,05
0,1;10;2000;10;214;7052,809;12506,65
0,1;100;10;3;53;7239,475;13405,811
0,1;100;10;5;81;7056,863;12811,994
0,1;100;10;10;98;7056,863;12811,994
0,1;100;100;3;61;7193,104;13041,652
0,1;100;100;5;74;7124,288;13451,192
0,1;100;100;10;140;7239,475;13405,811
0,1;100;2000;3;24;6945,726;13019,3
0,1;100;2000;5;34;7423,98;13438,317
0,1;100;2000;10;92;7095,635;12868,937
1,0;1;10;3;38;7310,457;13245,189
1,0;1;10;5;62;7136,223;12181,05
1,0;1;10;10;139;7052,809;12506,65
1,0;1;100;3;59;7199,773;12711,232
1,0;1;100;5;62;7052,809;12506,65
1,0;1;100;10;124;6945,726;13019,3
1,0;1;2000;3;29;6945,726;13019,3
1,0;1;2000;5;74;7193,104;13041,652
1,0;1;2000;10;92;7211,684;12818,033
1,0;10;10;3;43;7095,635;12868,937
1,0;10;10;5;88;7082,789;13436,201
1,0;10;10;10;132;6868,083;12474,292
1,0;10;100;3;26;7095,635;12868,937
1,0;10;100;5;46;7056,863;12811,994
1,0;10;100;10;98;7052,809;12506,65
1,0;10;2000;3;57;7029,326;13658,328
1,0;10;2000;5;80;7246,223;12534,951
1,0;10;2000;10;86;6945,726;13019,3
1,0;100;10;3;36;7242,964;12859,957
1,0;100;10;5;133;7230,313;13139,337
1,0;100;10;10;100;7052,809;12506,65
1,0;100;100;3;51;7130,7;13127,904
1,0;100;100;5;62;7136,223;12181,05
1,0;100;100;10;78;6945,726;13019,3
1,0;100;2000;3;67;7124,288;13451,192
1,0;100;2000;5;83;7052,809;12506,65
1,0;100;2000;10;109;7199,773;12711,232
10,0;1;10;3;35;7310,457;13245,189
10,0;1;10;5;48;7056,863;12811,994
10,0;1;10;10;183;7029,326;13658,328
10,0;1;100;3;44;7296,736;13188,1
10,0;1;100;5;62;7251,378;13203,178
10,0;1;100;10;73;7029,326;13658,328
10,0;1;2000;3;27;7391,096;13594,62
10,0;1;2000;5;47;7216,899;13472,39
10,0;1;2000;10;82;7082,789;13436,201
10,0;10;10;3;31;7029,326;13658,328
10,0;10;10;5;50;7412,398;13571,053
10,0;10;10;10;158;7082,789;13436,201
10,0;10;100;3;25;7124,288;13451,192
10,0;10;100;5;33;7199,773;12711,232
10,0;10;100;10;138;7052,809;12506,65
10,0;10;2000;3;56;7082,789;13436,201
10,0;10;2000;5;49;7136,223;12181,05
10,0;10;2000;10;84;6945,726;13019,3
10,0;100;10;3;61;6868,083;12474,292
10,0;100;10;5;41;7136,223;12181,05
10,0;100;10;10;174;7095,635;12868,937
10,0;100;100;3;38;7082,789;13436,201
10,0;100;100;5;102;7136,223;12181,05
10,0;100;100;10;135;7199,773;12711,232
10,0;100;2000;3;31;7251,378;13203,178
10,0;100;2000;5;96;7029,326;13658,328
10,0;100;2000;10;128;7029,326;13658,328
